Main Category,Sub Category,2018 Onward ACS/PRCS,Occupation title
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273031,Public Relations Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273041,Editors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273042,Technical Writers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273043,Writers and Authors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273091,Interpreters And Translators
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273092,Court Reporters And Simultaneous Captioners
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273099,"Media And Communications Workers, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",2740XX,Other Media And Communication Equipment Workers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",274021,Photographers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",274030,"Television, Video, and Motion Picture Camera Operators and Editors"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291011,Chiropractors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291020,Dentists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291031,Dieticians and Nutritionists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291041,Optometrists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291051,Pharmacists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291210,Physicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291240,Surgeons
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291071,Physician Assistants
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291081,Podiatrists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291181,Audiologists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291122,Occupational Therapists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291123,Physical Therapists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291124,Radiation Therapists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291125,Recreational Therapists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291126,Respiratory Therapists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291127,Speech-Language Pathologists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,29112X,Other Therapists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291131,Veterinarians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291141,Registered Nurses
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291151,Nurse Anesthetists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,2911XX,Nurse Practitioners and Nurse Midwives
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291291,Acupuncturists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291299,"Healthcare Diagnosing Or Treating Practitioners, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292010,Clinical Laboratory Technologists and Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291292,Dental Hygienists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292031,Cardiovascular Technologists And Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292032,Diagnostic Medical Sonographers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292034,Radiologic Technologists And Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292035,Magnetic Resonance Imaging Technologists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,29203X,Nuclear Medicine Technologists And Medical Dosimetrists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292042,Emergency Medical Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292043,Paramedics
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292052,Pharmacy Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292053,Psychiatric Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292055,Surgical Technologists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292056,Veterinary Technologists And Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,29205X,Dietetic Technicians And Ophthalmic Medical Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292061,Licensed Practical and Licensed Vocational Nurses
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292072,Medical Records Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292081,"Opticians, Dispensing"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,292090,Miscellaneous Health Technologists and Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,299000,Other Healthcare Practitioners and Technical Occupations
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,311121,Home Health Aides
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,311122,Personal Care Aides
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,311131,Nursing Assistants
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,31113X,Orderlies And Psychiatric Aides
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,312010,Occupational Therapy Assistants and Aides
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,312020,Physical Therapist Assistants and Aides
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,319011,Massage Therapists
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,319091,Dental Assistants
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,319092,Medical Assistants
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,319094,Medical Transcriptionists
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,319095,Pharmacy Aides
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,319096,Veterinary Assistants and Laboratory Animal Caretakers
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,319097,Phlebotmists
SERVICE OCCUPATIONS:,Healthcare Support Occupations:,31909X,Other Healthcare Support Workers
SERVICE OCCUPATIONS:,Protective Service Occupations:,331011,First-Line Supervisors of Correctional Officers
SERVICE OCCUPATIONS:,Protective Service Occupations:,331012,First-Line Supervisors of Police and Detectives
SERVICE OCCUPATIONS:,Protective Service Occupations:,331021,First-Line Supervisors of Fire Fighting and Prevention Workers
SERVICE OCCUPATIONS:,Protective Service Occupations:,331090,"Miscellaneous First-Line Supervisors, Protective Service Workers"
SERVICE OCCUPATIONS:,Protective Service Occupations:,332011,Firefighters
SERVICE OCCUPATIONS:,Protective Service Occupations:,332020,Fire Inspectors
SERVICE OCCUPATIONS:,Protective Service Occupations:,333011,Bailiffs
SERVICE OCCUPATIONS:,Protective Service Occupations:,333012,Correctional Officers And Jailers
SERVICE OCCUPATIONS:,Protective Service Occupations:,333021,Detectives and Criminal Investigators
SERVICE OCCUPATIONS:,Protective Service Occupations:,3330XX,Fish And Game Wardens And Parking Enforcement Officers
SERVICE OCCUPATIONS:,Protective Service Occupations:,333050,Police Officers
SERVICE OCCUPATIONS:,Protective Service Occupations:,339011,Animal Control Workers
SERVICE OCCUPATIONS:,Protective Service Occupations:,339021,Private Detectives and Investigators
SERVICE OCCUPATIONS:,Protective Service Occupations:,339030,Security Guards and Gaming Surveillance Officers
SERVICE OCCUPATIONS:,Protective Service Occupations:,339091,Crossing Guards And Flaggers
SERVICE OCCUPATIONS:,Protective Service Occupations:,339093,Transportation Security Screeners
SERVICE OCCUPATIONS:,Protective Service Occupations:,339094,School Bus Monitors
SERVICE OCCUPATIONS:,Protective Service Occupations:,33909X,Other Protective Service Workers
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,351011,Chefs and Head Cooks
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,351012,First-Line Supervisors of Food Preparation and Serving Workers
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,352010,Cooks
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,352021,Food Preparation Workers
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,353011,Bartenders
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,353023,Fast Food And Counter Workers
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,353031,Waiters and Waitresses
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,353041,"Food Servers, Nonrestaurant"
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,359011,Dining Room and Cafeteria Attendants and Bartender Helpers
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,359021,Dishwashers
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,359031,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop"
SERVICE OCCUPATIONS:,Food Preparation and Serving Related Occupations:,359099,"Food Preparation and Serving Related Workers, All Other"
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,371011,First-Line Supervisors of Housekeeping and Janitorial Workers
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,37201X,Janitors and Building Cleaners
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,372012,Maids and Housekeeping Cleaners
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,372021,Pest Control Workers
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,373011,Landscaping And Groundskeeping Workers
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,373013,Tree Trimmers And Pruners
SERVICE OCCUPATIONS:,Building and Grounds Cleaning and Maintenance Occupations:,37301X,Other Grounds Maintenance Workers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,391000,Supervisors of Personal Care And Service Workers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,392011,Animal Trainers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,392021,Animal Caretakers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,393010,Gambling Services Workers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,393031,"Ushers, Lobby Attendants, and Ticket Takers"
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,3930XX,Other Entertainment Attendants And Related Workers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,3940XX,"Embalmers, Crematory Operators, And Funeral Attendants"
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,394031,"Morticians, Undertakers, And Funeral Arrangers"
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,395011,Barbers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,395012,"Hairdressers, Hairstylists, and Cosmetologists"
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,395092,Manicurists and Pedicurists
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,395094,Skincare Specialists
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,39509X,Other Personal Appearance Workers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,396010,"Baggage Porters, Bellhops, and Concierges"
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,397010,Tour and Travel Guides
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,399011,Childcare Workers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,399031,Exercise Trainers And Group Fitness Instructors
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,399032,Recreation Workers
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,399041,Residential Advisors
SERVICE OCCUPATIONS:,Personal Care and Service Occupations:,399099,"Personal Care and Service Workers, All Other"
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,411011,First-Line Supervisors of Retail Sales Workers
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,411012,First-Line Supervisors of Non-Retail Sales
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,412010,Cashiers
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,412021,Counter and Rental Clerks
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,412022,Parts Salespersons
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,412031,Retail Salespersons
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,413011,Advertising Sales Agents
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,413021,Insurance Sales Agents
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,413031,"Securities, Commodities, and Financial Services Sales Agents"
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,413041,Travel Agents
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel"
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,414010,"Sales Representatives, Wholesale and Manufacturing"
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,419010,"Models, Demonstrators, and Product Promoters"
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,419020,Real Estate Brokers and Sales Agents
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,419031,Sales Engineers
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,419041,Telemarketers
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
SALES AND OFFICE OCCUPATIONS:,Sales and Related Occupations:,419099,"Sales and Related Workers, All Other"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,431011,First-Line Supervisors of Office and Administrative Support Workers
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,432011,"Switchboard Operators, Including Answering Service"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,432021,Telephone Operators
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,432099,"Communications Equipment Operators, All Other"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,433011,Bill and Account Collectors
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,433021,Billing and Posting Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,433031,"Bookkeeping, Accounting, and Auditing Clerks"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,433051,Payroll and Timekeeping Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,433061,Procurement Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,433071,Tellers
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,4330XX,Other Financial Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434031,"Court, Municipal, and License Clerks"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434041,"Credit Authorizers, Checkers, and Clerks"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434051,Customer Service Representatives
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434061,"Eligibility Interviewers, Government Programs"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434071,File Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434081,"Hotel, Motel, and Resort Desk Clerks"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434111,"Interviewers, Except Eligibility and Loan"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434121,"Library Assistants, Clerical"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434131,Loan Interviewers and Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434141,New Account Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434XXX,Correspondent clerks and order clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434161,"Human Resources Assistants, Except Payroll and Timekeeping"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434171,Receptionists and Information Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434181,Reservation and Transportation Ticket Agents and Travel Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,434YYY,Other Information And Records Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435011,Cargo and Freight Agents
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435021,Couriers and Messengers
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435031,Public Safety Telecommunicators
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435032,"Dispatchers, Except Police, Fire, And Ambulance"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435041,"Meter Readers, Utilities"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435051,Postal Service Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435052,Postal Service Mail Carriers
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435061,"Production, Planning, and Expediting Clerks"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435071,"Shipping, receiving, and inventory clerks"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,436011,Executive Secretaries And Executive Administrative Assistants
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,436012,Legal Secretaries And Administrative Assistants
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,436013,Medical Secretaries And Administrative Assistants
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,436014,"Secretaries And Administrative, Except Legal, Medical, And Executive"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439021,Data Entry Keyers
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439022,Word Processors and Typists
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439041,Insurance Claims and Policy Processing Clerks
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439061,"Office Clerks, General"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439071,"Office Machine Operators, Except Computer"
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439081,Proofreaders and Copy Markers
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439111,Statistical Assistants
SALES AND OFFICE OCCUPATIONS:,Office and Administrative Support Occupations:,439XXX,Other Office And Administrative Support Workers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Farming, Fishing, and Forestry Occupations:",451011,"First-Line Supervisors of farming, fishing, and forestry workers"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Farming, Fishing, and Forestry Occupations:",452011,Agricultural Inspectors
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Farming, Fishing, and Forestry Occupations:",452041,"Graders and Sorters, Agricultural Products"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Farming, Fishing, and Forestry Occupations:",4520XX,Other Agricultural Workers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Farming, Fishing, and Forestry Occupations:",453031,Fishing And Hunting Workers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Farming, Fishing, and Forestry Occupations:",454011,Forest and Conservation Workers
